benchmark_name,benchmark_id,image_path,answer,options,image_exists,patch_exists,is_valid,metric_type,file_id,prompt
gtex,GTEX-OIZH-0626,GTEX-OIZH-0626.tiff,Esophagus,"['Esophagus', 'Artery', 'Skin', 'Adipose', 'Colon', 'Heart', 'Muscle', 'Nerve', 'Stomach', 'Thyroid', 'Breast', 'Spleen', 'Pancreas', 'Lung', 'Brain', 'Small Intestine', 'Adrenal Gland', 'Liver', 'Kidney', 'Prostate']",True,True,True,balanced_accuracy,GTEX-OIZH-0626,"What organ type is shown in this histopathology image?

Select from the following options:
{options}

Please choose the number of the correct option and respond in the following JSON format:
```json
{{""answer"": YOUR_ANSWER}}
```
"
gtex,GTEX-T2IS-0826,GTEX-T2IS-0826.tiff,Esophagus,"['Esophagus', 'Artery', 'Skin', 'Adipose', 'Colon', 'Heart', 'Muscle', 'Nerve', 'Stomach', 'Thyroid', 'Breast', 'Spleen', 'Pancreas', 'Lung', 'Brain', 'Small Intestine', 'Adrenal Gland', 'Liver', 'Kidney', 'Prostate']",True,True,True,balanced_accuracy,GTEX-T2IS-0826,"What organ type is shown in this histopathology image?

Select from the following options:
{options}

Please choose the number of the correct option and respond in the following JSON format:
```json
{{""answer"": YOUR_ANSWER}}
```
"
gtex,GTEX-1F75I-1026,GTEX-1F75I-1026.tiff,Adipose,"['Esophagus', 'Artery', 'Skin', 'Adipose', 'Colon', 'Heart', 'Muscle', 'Nerve', 'Stomach', 'Thyroid', 'Breast', 'Spleen', 'Pancreas', 'Lung', 'Brain', 'Small Intestine', 'Adrenal Gland', 'Liver', 'Kidney', 'Prostate']",True,True,True,balanced_accuracy,GTEX-1F75I-1026,"What organ type is shown in this histopathology image?

Select from the following options:
{options}

Please choose the number of the correct option and respond in the following JSON format:
```json
{{""answer"": YOUR_ANSWER}}
```
"
gtex,GTEX-1IL2V-1926,GTEX-1IL2V-1926.tiff,Skin,"['Esophagus', 'Artery', 'Skin', 'Adipose', 'Colon', 'Heart', 'Muscle', 'Nerve', 'Stomach', 'Thyroid', 'Breast', 'Spleen', 'Pancreas', 'Lung', 'Brain', 'Small Intestine', 'Adrenal Gland', 'Liver', 'Kidney', 'Prostate']",True,True,True,balanced_accuracy,GTEX-1IL2V-1926,"What organ type is shown in this histopathology image?

Select from the following options:
{options}

Please choose the number of the correct option and respond in the following JSON format:
```json
{{""answer"": YOUR_ANSWER}}
```
"
gtex,GTEX-1L5NE-1426,GTEX-1L5NE-1426.tiff,Esophagus,"['Esophagus', 'Artery', 'Skin', 'Adipose', 'Colon', 'Heart', 'Muscle', 'Nerve', 'Stomach', 'Thyroid', 'Breast', 'Spleen', 'Pancreas', 'Lung', 'Brain', 'Small Intestine', 'Adrenal Gland', 'Liver', 'Kidney', 'Prostate']",True,True,True,balanced_accuracy,GTEX-1L5NE-1426,"What organ type is shown in this histopathology image?

Select from the following options:
{options}

Please choose the number of the correct option and respond in the following JSON format:
```json
{{""answer"": YOUR_ANSWER}}
```
"
gtex,GTEX-14AS3-2026,GTEX-14AS3-2026.tiff,Adipose,"['Esophagus', 'Artery', 'Skin', 'Adipose', 'Colon', 'Heart', 'Muscle', 'Nerve', 'Stomach', 'Thyroid', 'Breast', 'Spleen', 'Pancreas', 'Lung', 'Brain', 'Small Intestine', 'Adrenal Gland', 'Liver', 'Kidney', 'Prostate']",True,True,True,balanced_accuracy,GTEX-14AS3-2026,"What organ type is shown in this histopathology image?

Select from the following options:
{options}

Please choose the number of the correct option and respond in the following JSON format:
```json
{{""answer"": YOUR_ANSWER}}
```
"
gtex,GTEX-15RIF-0326,GTEX-15RIF-0326.tiff,Thyroid,"['Esophagus', 'Artery', 'Skin', 'Adipose', 'Colon', 'Heart', 'Muscle', 'Nerve', 'Stomach', 'Thyroid', 'Breast', 'Spleen', 'Pancreas', 'Lung', 'Brain', 'Small Intestine', 'Adrenal Gland', 'Liver', 'Kidney', 'Prostate']",True,True,True,balanced_accuracy,GTEX-15RIF-0326,"What organ type is shown in this histopathology image?

Select from the following options:
{options}

Please choose the number of the correct option and respond in the following JSON format:
```json
{{""answer"": YOUR_ANSWER}}
```
"
gtex,GTEX-RN5K-2226,GTEX-RN5K-2226.tiff,Pancreas,"['Esophagus', 'Artery', 'Skin', 'Adipose', 'Colon', 'Heart', 'Muscle', 'Nerve', 'Stomach', 'Thyroid', 'Breast', 'Spleen', 'Pancreas', 'Lung', 'Brain', 'Small Intestine', 'Adrenal Gland', 'Liver', 'Kidney', 'Prostate']",True,True,True,balanced_accuracy,GTEX-RN5K-2226,"What organ type is shown in this histopathology image?

Select from the following options:
{options}

Please choose the number of the correct option and respond in the following JSON format:
```json
{{""answer"": YOUR_ANSWER}}
```
"
gtex,GTEX-144GM-2026,GTEX-144GM-2026.tiff,Muscle,"['Esophagus', 'Artery', 'Skin', 'Adipose', 'Colon', 'Heart', 'Muscle', 'Nerve', 'Stomach', 'Thyroid', 'Breast', 'Spleen', 'Pancreas', 'Lung', 'Brain', 'Small Intestine', 'Adrenal Gland', 'Liver', 'Kidney', 'Prostate']",True,True,True,balanced_accuracy,GTEX-144GM-2026,"What organ type is shown in this histopathology image?

Select from the following options:
{options}

Please choose the number of the correct option and respond in the following JSON format:
```json
{{""answer"": YOUR_ANSWER}}
```
"
gtex,GTEX-1A3MV-2026,GTEX-1A3MV-2026.tiff,Muscle,"['Esophagus', 'Artery', 'Skin', 'Adipose', 'Colon', 'Heart', 'Muscle', 'Nerve', 'Stomach', 'Thyroid', 'Breast', 'Spleen', 'Pancreas', 'Lung', 'Brain', 'Small Intestine', 'Adrenal Gland', 'Liver', 'Kidney', 'Prostate']",True,True,True,balanced_accuracy,GTEX-1A3MV-2026,"What organ type is shown in this histopathology image?

Select from the following options:
{options}

Please choose the number of the correct option and respond in the following JSON format:
```json
{{""answer"": YOUR_ANSWER}}
```
"
